Cover_Type,Distance_To_Hydrology,Eastern_Aspect,Elevation,Hillshade_3pm,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points,Horizontal_Distance_To_Hydrology,Northern_Aspect,Slope,Southern_Aspect,Vertical_Distance_To_Hydrology,Western_Aspect,Soil_Type1,Soil_Type2,Soil_Type3,Soil_Type4,Soil_Type5,Soil_Type6,Soil_Type7,Soil_Type8,Soil_Type9,Soil_Type10,Soil_Type11,Soil_Type12,Soil_Type13,Soil_Type14,Soil_Type15,Soil_Type16,Soil_Type17,Soil_Type18,Soil_Type19,Soil_Type20,Soil_Type21,Soil_Type22,Soil_Type23,Soil_Type24,Soil_Type25,Soil_Type26,Soil_Type27,Soil_Type28,Soil_Type29,Soil_Type30,Soil_Type31,Soil_Type32,Soil_Type33,Soil_Type34,Soil_Type35,Soil_Type36,Soil_Type37,Soil_Type38,Soil_Type39,Soil_Type40,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4
5,0.1023331815830897,1,-0.3670951177156842,0.5716534639099549,0.5716534639099549,0.5716534639099549,-0.9086813082379156,0.14663941112167192,0,-1.5971316271023648,0,-0.8340742262953817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.11074523769326552,1,-0.38146071928237774,0.7032254200848865,0.7032254200848865,0.7032254200848865,-0.999245805412697,-0.0723369377425422,0,-1.715423765013779,0,-0.9320535961452117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0.18479770165157924,0,0.13091240326302475,0.8347973762598182,0.8347973762598182,0.8347973762598182,1.1063787539009722,0.19424296522258802,0,-0.8873787996338792,1,0.22736894707777472,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0.15447592223301604,0,0.08542133163516191,0.8347973762598182,0.8347973762598182,0.8347973762598182,1.0384553810198862,0.07047372456020613,0,0.1772504415688491,1,1.0928533807512717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.3849255235840691,1,-0.3694893846434665,0.6593681013599093,0.6593681013599093,0.6593681013599093,-0.9984911012695739,-0.3531979069379473,0,-1.715423765013779,0,-0.8504041212703534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0.29898190738080366,1,-0.4077976554879825,0.790940057534841,0.790940057534841,0.790940057534841,-1.2430152436414839,0.3465743383455196,0,-1.242255213368122,0,-1.0790226509199563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0.15823645291827684,1,-0.3431524484378617,0.26465223283511435,0.26465223283511435,0.26465223283511435,-0.8158526986337646,0.20376367604277124,0,-1.1239630754567078,0,-0.7524247514205236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.008557926176582145,1,-0.3455467153656439,0.4839388264600004,0.4839388264600004,0.4839388264600004,-0.8611349472211554,0.032390881279473246,0,-1.4788394891909504,0,-0.7197649614705803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0.04871796800608136,1,-0.31681551223225685,0.08922295793520546,0.08922295793520546,0.08922295793520546,-0.7909474619106996,0.06095301374002291,0,-0.8873787996338792,0,0.08039989230302998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0.05242157024307043,1,-0.32878684687116816,0.0015083204852510274,0.0015083204852510274,0.0015083204852510274,-0.813588586204395,0.0942755016106642,0,-0.769086661722465,0,-0.6544453815706938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.2267597943367941,0,-0.32878684687116816,1.0540839698847042,1.0540839698847042,1.0540839698847042,-0.7388728760352004,-0.22466831086547376,0,-1.4788394891909504,1,-0.00124958257182822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0.6309554206462896,0,0.3272422913411696,0.9225120137097726,0.9225120137097726,0.9225120137097726,2.6708804425953225,0.684559572462024,0,-0.6507945238110507,1,-0.4094969569461192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,-0.32874615543454305,1,-0.017532146259475037,0.22079491411013713,0.22079491411013713,0.22079491411013713,1.1327933989102834,-0.3674789731682221,0,0.6504189932145061,0,0.2926885269776613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.36686575559584716,0,-0.3359696476545149,1.229513244784613,1.229513244784613,1.229513244784613,-0.711703526882766,-0.3674789731682221,0,-1.1239630754567078,1,-0.08289905744668641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.7834875717635704,0,-0.5897619419994339,0.9225120137097726,0.9225120137097726,0.9225120137097726,-0.7849098287657142,-0.7625884722058258,0,-1.4788394891909504,1,-0.7687546463954952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.8998379202571632,1,-0.608916077421692,0.26465223283511435,0.26465223283511435,0.26465223283511435,-0.7260429056021063,-0.8815973574581161,0,-1.1239630754567078,0,-0.8014144363454385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.5380645696975576,0,-0.33357538072673265,0.8786546949847954,0.8786546949847954,0.8786546949847954,-0.8354750063549673,-0.5102896354709704,0,-1.8337159029251933,0,-0.8504041212703534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.6995270131065825,1,-0.5562422050104823,0.3523668702850688,0.3523668702850688,0.3523668702850688,-0.8445314560724454,-0.6769020748241769,0,-1.1239630754567078,0,-0.736094856445552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.6534912972851983,0,-0.5873676750716517,0.5716534639099549,0.5716534639099549,0.5716534639099549,-0.7720798583326202,-0.6292985207232608,1,-1.4788394891909504,0,-0.7524247514205236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.6977880845428601,0,-0.5897619419994339,0.396224189010046,0.396224189010046,0.396224189010046,-0.7343446511764613,-0.6769020748241769,1,-1.3605473512795363,0,-0.6707752765456654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.8140619790537458,1,-0.5945504758549984,0.1769375953851599,0.1769375953851599,0.1769375953851599,-0.7147223434552586,-0.7959109600764671,0,-0.8873787996338792,0,-0.7034350664956087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,-0.0829544148594211,0,0.3128766897744761,1.4926571571344764,1.4926571571344764,1.4926571571344764,2.469374436381434,-0.053295516102175755,0,0.05895830365743483,1,-0.34417737704623264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.12609434258948238,1,0.04471879386286358,-0.43706486676452116,-0.43706486676452116,-0.43706486676452116,1.2263767126575578,-0.16754404594437441,0,0.7687111311259204,0,0.5049771616522926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.5195210915045612,1,-0.5706078065771758,0.13308027666018268,0.13308027666018268,0.13308027666018268,-0.8120791779181487,-0.49124821383060396,0,-1.0056709375452935,0,-0.8340742262953817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.5343068069313347,0,-0.5801848742883049,0.08922295793520546,0.08922295793520546,0.08922295793520546,-0.7411369884645699,-0.5102896354709704,1,-0.8873787996338792,0,-0.6054556966457788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-1.0949683292871635,0,-0.6160988782050387,0.790940057534841,0.790940057534841,0.790940057534841,-0.6445348581448029,-1.0815322846819637,0,-1.242255213368122,1,-0.8340742262953817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.9545151541704547,0,-0.6232816789883855,1.0540839698847042,1.0540839698847042,1.0540839698847042,-0.652836603719158,-0.9387216223792154,0,-0.769086661722465,1,-0.8993938061952683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0.40777431060151165,0,0.509206577852621,0.7470827388098638,0.7470827388098638,0.7470827388098638,3.1712492894859903,0.45606251277762666,0,-0.05933383425397942,1,-0.4584866418710341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,-0.10133745733038037,0,0.14767227175750053,0.8347973762598182,0.8347973762598182,0.8347973762598182,1.4761837840313299,-0.0723369377425422,0,-1.8337159029251933,1,-0.34417737704623264,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.45633602828073444,1,-0.024714947042821803,-0.39320754803954394,-0.39320754803954394,-0.39320754803954394,1.1826038723564134,-0.47696714760032916,0,0.8870032690373346,0,0.031410207378115056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.759743744167793,1,-0.11090855644298296,-0.787923416564339,-0.787923416564339,-0.787923416564339,1.1146804994753272,-0.7625884722058258,0,1.59675609650582,0,-0.39316706197114754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.5380645696975576,1,-0.5442708703715711,0.5277961451849776,0.5277961451849776,0.5277961451849776,-0.8445314560724454,-0.5102896354709704,0,-1.1239630754567078,0,-0.8177443313204101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.519221769123965,1,-0.5514536711549178,0.6155107826349321,0.6155107826349321,0.6155107826349321,-0.8286826690668586,-0.49124821383060396,0,-1.242255213368122,0,-0.7687546463954952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.3986153395082481,0,-0.5586364719382646,0.3523668702850688,0.3523668702850688,0.3523668702850688,-0.7969850950556852,-0.3674789731682221,1,-1.242255213368122,0,-0.7687546463954952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.3429452217192266,0,-0.5610307388660468,0.045365639210228244,0.045365639210228244,0.045365639210228244,-0.7803816039069752,-0.31035470824712275,1,-0.8873787996338792,0,-0.7687546463954952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0.031910690648466196,1,0.36076202833012116,-1.0510673289142023,-1.0510673289142023,-1.0510673289142023,2.630126418866671,0.07047372456020613,0,0.29554257948026336,0,-0.507476326795949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
